ACC_RANDOM,SATXN_ENTRY_DATE,SATXN_BR_CODE,SATXN_BUSI_DATE,SATXN_TXN_TIME,SATXN_MEMO_CODE,SATXN_TXN_MEMO,SATXN_DB_CR_STAT,SATXN_TXN_AMT,SATXN_SAM_BAL,SATXN_TXN_STAT,SATXN_PB_STATUS,ID_RANDOM,SATXN_BUSI_CODE,SATXN_CASH_AMT,SATXN_BANK_NO
"219,175",2023/5/22 0:00,46,2023/5/22 0:00,131919,1005,__      ,1,"502,400.00","755,050.00",0,1,"2,352,717",SA01,0,   
"219,175",2023/5/30 0:00,46,2023/5/30 0:00,135639,1005,__      ,1,"364,500.00","3,016,650.00",0,1,"2,352,717",SA01,0,   
"219,175",2023/5/30 0:00,46,2023/5/30 0:00,135712,1001,____  ,1,"400,000.00","2,616,650.00",0,1,"2,352,717",SA01,"400,000.00",   
"1,420,884",2023/5/23 0:00,596,2023/5/23 0:00,21150,1057,____  ,1,"7,201.00","22,573.00",0,0,"1,160,326",LN01,0,   
"3,452,517",2023/5/24 0:00,1030,2023/5/24 0:00,134125,1097,____  ,1,"30,000.00","18,751.00",0,0,"1,406,890",AT01,"30,000.00",103
"3,452,517",2023/5/24 0:00,1030,2023/5/24 0:00,133556,1,____  ,2,"40,600.00","48,751.00",0,1,"1,406,890",SA01,"40,600.00",   
"1,498,179",2023/5/23 0:00,37,2023/5/23 0:00,112456,1417,____  ,2,"10,000.00","22,669.00",0,0,"1,168,288",AT01,0,7
"1,498,179",2023/5/23 0:00,37,2023/5/23 0:00,112456,1417,____  ,2,"10,000.00","22,669.00",0,0,"1,168,288",AT01,0,7
"3,464,695",2023/5/22 0:00,763,2023/5/22 0:00,145001,1005,__      ,2,188,"30,460.00",0,0,"24,710",AG01,0,   
"3,464,695",2023/5/16 0:00,763,2023/5/16 0:00,153954,237,____  ,1,"9,207.00","30,272.00",0,0,"24,710",NB01,0,103
"1,269,041",2023/5/24 0:00,903,2023/5/24 0:00,20802,1165,__      ,2,"20,000.00","33,763.00",0,0,"715,285",AG01,0,822
"1,269,041",2023/5/31 0:00,903,2023/5/31 0:00,64746,1417,____  ,2,"1,623.00","35,386.00",0,0,"715,285",AT01,0,822
"2,545,642",2023/5/22 0:00,1030,2023/5/22 0:00,1731,23,____  ,2,"1,325.00","51,717.00",0,0,"2,608,185",TI01,0,   
"2,545,642",2023/5/22 0:00,1030,2023/5/22 0:00,1731,23,____  ,2,878,"50,392.00",0,0,"2,608,185",TI01,0,   
"2,545,642",2023/5/18 0:00,1030,2023/5/18 0:00,10755,23,____  ,2,"1,325.00","49,514.00",0,0,"2,608,185",TI01,0,   
"1,449,568",2023/5/31 0:00,231,2023/5/31 0:00,110546,1005,__      ,2,"35,000.00","505,998.00",0,0,"19,632",SA01,0,   
