ID_RANDOM,CFMST_OPEN_TYPE,CFMST_SEX,AGE,CFMST_BINS_CODE,CFMST_CUST_VIP,CFMST_TOUT_CODE,CFMST_DMCL_ZIP_CODE,CFMST_COMM_ZIP_CODE,CFMST_NOTICE_TEL_FLAG,CFMST_SEND_DM_CODE,CFMST_CRT_DATE,CFMST_CHG_DATE,CFMST_SEND_AT_CODE,CFMST_SEND_AT_CSH,CFMST_BINS_CODE_JCIC
1998679,1,F,71,060000,DD,05,111  ,202  ,3, ,2006-04-03 00:00:00.0000000,2023-06-13 00:00:00.0000000,1,1,061700
1998679,1,F,71,060000,DD,05,111  ,202  ,3, ,2006-04-03 00:00:00.0000000,2023-06-13 00:00:00.0000000,1,1,061700
6630,1,M,72,061700,DD,05,105  ,105  ,3,0,2008-04-24 00:00:00.0000000,2018-02-12 00:00:00.0000000,1,0,061700
176539,1,M,48,060000,DD,05,111  ,112  ,0,0,2010-06-01 00:00:00.0000000,2023-02-09 00:00:00.0000000,1,0,061700
176539,1,M,48,060000,DD,05,111  ,112  ,0,0,2010-06-01 00:00:00.0000000,2023-02-09 00:00:00.0000000,1,0,061700
176539,1,M,48,060000,DD,05,111  ,112  ,0,0,2010-06-01 00:00:00.0000000,2023-02-09 00:00:00.0000000,1,0,061700
176539,1,M,48,060000,DD,05,111  ,112  ,0,0,2010-06-01 00:00:00.0000000,2023-02-09 00:00:00.0000000,1,0,061700
5709,1,F,34,061410,DD,05,231  ,231  ,3,0,2007-07-06 00:00:00.0000000,2018-04-02 00:00:00.0000000,1,0,061410
4054,1,M,44,0615H0,DD,01,116  ,116  ,3,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,0615H0
309,1,F,21,060000,DD,05,116  ,116  ,3,0,2017-10-12 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,061410
7927,1,F,55,060000,DD,05,320  ,320  ,3,0,2015-11-02 00:00:00.0000000,2015-11-25 00:00:00.0000000,0,0,061620
7220,1,F,48,0615H0,DD,07,704  ,704  ,3,0,2004-05-08 00:00:00.0000000,2020-04-15 00:00:00.0000000,0,1,0615H0
7220,1,F,48,0615H0,DD,07,704  ,704  ,3,0,2004-05-08 00:00:00.0000000,2020-04-15 00:00:00.0000000,0,1,0615H0
1832,1,M,33,060000,DD,05,625  ,114  ,3,0,2016-03-24 00:00:00.0000000,2022-11-08 00:00:00.0000000,1,0,061620
1832,1,M,33,060000,DD,05,625  ,114  ,3,0,2016-03-24 00:00:00.0000000,2022-11-08 00:00:00.0000000,1,0,061620
1832,1,M,33,060000,DD,05,625  ,114  ,3,0,2016-03-24 00:00:00.0000000,2022-11-08 00:00:00.0000000,1,0,061620
8199,1,M,37,060000,DD,05,608  ,608  ,3,0,2017-03-14 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,0615H0
2024023,1,F,60,060000,DD,07,732  ,732  ,3,1,2011-01-21 00:00:00.0000000,2023-05-25 00:00:00.0000000,0,0,061700
2024023,1,F,60,060000,DD,07,732  ,732  ,3,1,2011-01-21 00:00:00.0000000,2023-05-25 00:00:00.0000000,0,0,061700
2216,1,F,53,061400,DD,05,600  ,600  ,0,1,2008-03-12 00:00:00.0000000,2018-04-02 00:00:00.0000000,0,0,061400
